#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000026200s | 8 B
                   1 | 0.000003100s | 8 B
                   2 | 0.000002400s | 8 B
                   3 | 0.000002500s | 8 B
                   4 | 0.000002900s | 8 B
                   5 | 0.000002500s | 8 B
                   6 | 0.000003100s | 8 B
                   7 | 0.000003200s | 8 B
                   8 | 0.000004300s | 8 B
                   9 | 0.000003200s | 8 B
                  10 | 0.000003800s | 8 B
                  11 | 0.000004000s | 8 B
                  12 | 0.000005200s | 8 B
                  13 | 0.000004900s | 8 B
                  14 | 0.000006800s | 8 B
                  15 | 0.000008700s | 8 B
                  16 | 0.000011600s | 8 B
                  17 | 0.000014600s | 8 B
                  18 | 0.000021900s | 8 B
                  19 | 0.000029100s | 8 B
                  20 | 0.000045700s | 8 B
                  21 | 0.000065800s | 8 B
                  22 | 0.000114700s | 8 B
                  23 | 0.000164000s | 8 B
                  24 | 0.000292200s | 8 B
                  25 | 0.000410000s | 8 B
                  26 | 0.000746900s | 8 B
                  27 | 0.001147100s | 8 B
                  28 | 0.001897000s | 8 B
                  29 | 0.002830700s | 8 B
                  30 | 0.005056300s | 8 B
                  31 | 0.007373400s | 8 B
                  32 | 0.011967900s | 8 B
                  33 | 0.017712700s | 8 B
                  34 | 0.019675200s | 8 B
                  35 | 0.028477600s | 8 B
                  36 | 0.043426100s | 8 B
                  37 | 0.073798400s | 8 B
                  38 | 0.126667900s | 8 B
                  39 | 0.200183900s | 8 B
                  40 | 0.296840600s | 8 B
                  41 | 0.534522600s | 8 B
                  42 | 0.819029300s | 8 B
                  43 | 1.362028700s | 8 B
